Date,Inning,TopBottom,Ball,Strike,Out,First,Second,Third,Pitcher,PitcherLR,Batter,BatterLR,PitchType,PitchSpeed,PitchLocation,CatcherLocation,PitchResult,KorBB,HitResult,HitType,Catch,OutsOnPlay,ScoresOnPlay,Memo,
2026/4/11,1,裏,2,0,2,○,○,○,野﨑勇一郎,右,辻本匡登,右,ストレート,,11,,インプレー,,アウト,フライ,右翼手,1,0,,
2026/4/11,2,表,0,0,0,-,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,11,,ファウル,,,,,0,0,,
2026/4/11,2,表,0,1,0,-,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,12,,ボール,,,,,0,0,,
2026/4/11,2,表,1,1,0,-,-,-,藤川泰斗,左,苅安 陸,右,チェンジアップ,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,2,1,0,-,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,9,外角,見逃し,,,,,0,0,,
2026/4/11,2,表,2,2,0,-,-,-,藤川泰斗,左,苅安 陸,右,ストレート,,4,,見逃し,見逃し三振,,,,1,0,,
2026/4/11,2,表,0,0,1,-,-,-,藤川泰斗,左,東元龍成,右,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,1,0,1,-,-,-,藤川泰斗,左,東元龍成,右,カーブ,,4,,ファウル,,,,,0,0,,
2026/4/11,2,表,1,1,1,-,-,-,藤川泰斗,左,東元龍成,右,ストレート,,3,,空振り,,,,,0,0,,
2026/4/11,2,表,1,2,1,-,-,-,藤川泰斗,左,東元龍成,右,ストレート,,9,外角,インプレー,,アウト,ゴロ,投手,1,0,,
2026/4/11,2,表,0,0,2,-,-,-,藤川泰斗,左,西川晃成,右,ストレート,,1,,空振り,,,,,0,0,,
2026/4/11,2,表,0,1,2,-,-,-,藤川泰斗,左,西川晃成,右,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,1,1,2,-,-,-,藤川泰斗,左,西川晃成,右,ストレート,,11,,インプレー,,単打,ゴロ,左翼手,0,0,,
2026/4/11,2,表,0,0,2,○,-,-,藤川泰斗,左,前谷内琉斗,左,スライダー,,8,,ファウル,,,,,0,0,,
2026/4/11,2,表,0,1,2,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,1,1,2,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,11,,ボール,,,,,0,0,,
2026/4/11,2,表,2,1,2,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,5,,見逃し,,,,,0,0,,
2026/4/11,2,表,2,2,2,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,3,2,2,○,-,-,藤川泰斗,左,前谷内琉斗,左,ストレート,,11,,ボール,四球,,,,0,0,,
2026/4/11,2,表,0,0,2,○,○,-,藤川泰斗,左,竹内勇輝,左,ストレート,,1,,見逃し,,,,,0,0,,
2026/4/11,2,表,0,1,2,○,○,-,藤川泰斗,左,竹内勇輝,左,ストレート,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,1,1,2,○,○,-,藤川泰斗,左,竹内勇輝,左,ストレート,,13,外角,ボール,,,,,0,0,,
2026/4/11,2,表,2,1,2,○,○,-,藤川泰斗,左,竹内勇輝,左,スライダー,,13,,ボール,,,,,0,0,,
2026/4/11,2,表,3,1,2,○,○,-,藤川泰斗,左,竹内勇輝,左,ストレート,,12,,ボール,四球,,,,0,0,,
2026/4/11,2,表,0,0,2,○,○,○,藤川泰斗,左,泉 航平,左,ストレート,,2,,見逃し,,,,,0,0,,
2026/4/11,2,表,0,1,2,○,○,○,藤川泰斗,左,泉 航平,左,ストレート,,1,,見逃し,,,,,0,0,,
2026/4/11,2,表,0,2,2,○,○,○,藤川泰斗,左,泉 航平,左,ストレート,,1,内角,インプレー,,アウト,ゴロ,遊撃手,1,0,,
2026/4/11,2,裏,0,0,0,-,-,-,野﨑勇一郎,右,寶田一慧,左,ストレート,,7,,インプレー,,アウト,ライナー,左翼手,1,0,,
2026/4/11,2,裏,0,0,1,-,-,-,野﨑勇一郎,右,野口恭平,左,ストレート,,8,,見逃し,,,,,0,0,,
2026/4/11,2,裏,0,1,1,-,-,-,野﨑勇一郎,右,野口恭平,左,ストレート,,14,,ボール,,,,,0,0,,
2026/4/11,2,裏,1,1,1,-,-,-,野﨑勇一郎,右,野口恭平,左,チェンジアップ,,4,内角,インプレー,,アウト,ライナー,二塁手,1,0,,
2026/4/11,2,裏,0,0,2,-,-,-,野﨑勇一郎,右,久保誓真,右,ストレート,,1,,インプレー,,アウト,フライ,右翼手,1,0,,
2026/4/11,3,表,0,0,0,-,-,-,藤川泰斗,左,架谷 岳,右,ストレート,,6,,インプレー,,アウト,ライナー,左翼手,1,0,,
2026/4/11,3,表,0,0,1,-,-,-,藤川泰斗,左,山本翔士,左,ストレート,,12,,ボール,,,,,0,0,,
